id,user_id,product_id,gross_amount,discounts,transaction_date
TRX630646,SC1105072002001,1,33900.0,,2024-08-03
TRX630647,SC1105072002001,1,25900.0,,2024-08-21
TRX630648,SC1105072002001,1,13899.999999999998,4000.0,2024-09-09
TRX630649,SC1105072002001,1,56300.0,6000.0,2024-03-19
TRX630650,SC1105072002001,2,5400.0,,2024-07-05
TRX630651,SC1105072002001,2,20700.0,,2024-04-06
TRX630652,SC1105072002001,2,,,2024-03-31
TRX630653,SC1105072002001,2,43900.0,20000.0,2024-05-20
TRX630654,SC1105072002001,3,53500.0,,2024-01-06
TRX630655,SC1105072002001,3,57699.99999999999,,2024-06-22
TRX630656,SC1105072002001,3,60700.0,6000.0,2024-05-27
TRX630657,SC1105072002001,3,28100.00000000004,4000.0,2024-03-15
TRX630658,SC1105072002001,4,36100.0,,2024-07-18
TRX630659,SC1105072002001,4,11800.0,,2024-08-14
TRX630660,SC1105072002001,4,50500.0,12500.0,2024-01-05
TRX630661,SC1105072002001,4,51600.0,7500.0,2024-06-03
TRX630662,SC1105072002001,5,27599.999999999996,,2024-07-21
TRX630663,SC1105072002001,5,16600.0,,2024-09-18
TRX630664,SC1105072002001,5,4200.0,4200.0,2024-06-26
TRX630665,SC1105072002001,5,11600.0,5800.000000000001,2024-05-11
TRX630666,SC1105072002001,7,24000.0,,2024-08-29
TRX630667,SC1105072002001,7,5300.0,,2024-04-21
TRX630668,SC1105072002001,7,700.000000000004,,2024-06-01
TRX630669,SC1105072002001,8,2300.0,,2024-10-16
TRX630670,SC1105072002001,8,10000.0,,2024-08-31
TRX630671,SC1105072002001,8,5300.0,,2024-12-26
TRX630672,SC1105072002001,8,32400.000000000004,,2024-10-10
TRX630673,SC1105072002001,11,9700.0,,2024-11-03
TRX630674,SC1105072002001,11,300.0,,2024-08-30
TRX630675,SC1105072002001,12,59700.0,,2024-01-25
TRX630676,SC1105072002001,12,130300.0,,2024-01-29
TRX630677,SC1105072002001,14,32800.0,,2024-06-02
TRX630678,SC1105072002001,14,39500.0,,2024-04-21
TRX630679,SC1105072002001,14,26400.0,9000.0,2024-03-02
TRX630680,SC1105072002001,14,11299.999999999998,11000.0,2024-03-11
TRX630681,SC1105072002001,15,4400.0,,2024-08-03
TRX630682,SC1105072002001,15,6200.0,,2024-05-20
TRX630683,SC1105072002001,15,6300.0,6300.0,2024-05-21
TRX630684,SC1105072002001,15,13100.0,3700.0,2024-06-13
TRX630685,SC1105072002001,17,3200.0,,2024-07-02
TRX630686,SC1105072002001,17,12200.0,,2024-11-28
TRX630687,SC1105072002001,17,14600.0,,2024-11-11
TRX630688,SC1105072002001,18,20800.0,,2024-12-26
TRX630689,SC1105072002001,18,27599.999999999996,,2024-10-10
TRX630690,SC1105072002001,18,26900.0,,2024-02-25
TRX630691,SC1105072002001,18,4700.000000000008,,2024-08-26
TRX630692,SC1105072001001,1,33400.0,,2024-04-14
TRX630693,SC1105072001001,1,103500.0,,2024-09-17
TRX630694,SC1105072001001,1,353100.0,30000.0,2024-05-04
TRX630695,SC1105072001001,2,44100.0,,2024-03-31
TRX630696,SC1105072001001,2,25900.0,20000.0,2024-03-15
TRX630697,SC1105072001001,3,20299.999999999996,,2024-10-13
TRX630698,SC1105072001001,3,32800.0,,2024-07-25
TRX630699,SC1105072001001,3,44500.0,,2024-07-04
TRX630700,SC1105072001001,3,22400.000000000004,,2024-08-15
TRX630701,SC1105072001001,4,53300.0,,2024-11-04
TRX630702,SC1105072001001,4,8100.000000000001,,2024-06-06
TRX630703,SC1105072001001,4,64200.0,5000.0,2024-07-02
TRX630704,SC1105072001001,4,44400.00000000001,5000.0,2024-09-18
TRX630705,SC1105072001001,5,80200.0,,2024-04-11
TRX630706,SC1105072001001,5,33700.0,,2024-07-29
TRX630707,SC1105072001001,5,4100.0,4100.0,2024-09-11
TRX630708,SC1105072001001,5,72000.0,72000.0,2024-10-03
TRX630709,SC1105072001001,7,2800.0000000000005,,2024-07-09
TRX630710,SC1105072001001,7,7200.0,,2024-06-14
TRX630711,SC1105072001001,8,71100.0,,2024-08-13
TRX630712,SC1105072001001,8,94500.0,,2024-04-07
TRX630713,SC1105072001001,8,24400.0,24400.0,2024-12-09
TRX630714,SC1105072001001,12,221900.0,,2024-11-09
TRX630715,SC1105072001001,12,128100.0,110000.0,2024-11-06
TRX630716,SC1105072001001,14,29500.0,,2024-09-13
TRX630717,SC1105072001001,14,19400.0,,2024-06-20
TRX630718,SC1105072001001,14,21100.0,,2024-03-13
TRX630719,SC1105072001001,15,137100.0,,2024-08-09
TRX630720,SC1105072001001,15,72900.0,72900.0,2024-01-11
TRX630721,SC1105072001001,17,13300.0,,2024-02-05
TRX630722,SC1105072001001,17,8200.0,,2024-09-19
TRX630723,SC1105072001001,17,27300.0,4700.0,2024-10-28
TRX630724,SC1105072001001,17,21200.0,5300.0,2024-07-15
TRX630725,SC1105072001001,18,4400.0,,2024-11-17
TRX630726,SC1105072001001,18,15600.0,,2024-01-01
TRX630727,SC1105072013001,1,175600.0,,2024-09-27
TRX630728,SC1105072013001,1,179600.0,,2024-08-27
TRX630729,SC1105072013001,1,84800.0,20000.0,2024-03-08
TRX630730,SC1105072013001,2,4500.0,,2024-10-17
TRX630731,SC1105072013001,2,55500.0,,2024-08-02
TRX630732,SC1105072013001,3,116700.0,,2024-04-16
TRX630733,SC1105072013001,3,34600.0,,2024-03-18
TRX630734,SC1105072013001,3,74400.0,3500.0,2024-06-29
TRX630735,SC1105072013001,3,54300.0,6500.0,2024-05-05
TRX630736,SC1105072013001,4,3200.0,,2024-12-31
